"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"xxx36989830","xxx1016443104545705989","2018-07-09 22:04:55","darokun","I sometimes use `grep`in #rstats.
This might be interesting for anybody who has ever used `grep` in any programming language: Where [did] `grep` come from? by @computer_phile https://t.co/hDbkwn4ZgS

#rstats #rladies","Twitter Web Client",216,,,"",FALSE,FALSE,0,1,"rstats rstats rladies",,"youtube.com/watch?v=NTfOnG…","https://t.co/hDbkwn4ZgS","https://www.youtube.com/watch?v=NTfOnGZUZDk","","","","","","","",,"xxx1342321700","computer_phile","en",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/darokun/status/1016443104545705989","Daloha Rodríguez-M.","München, Deutschland","PhD candidate in Epidemiology, @LMUMuenchen | Co-Founder of @RLadiesMunich | #NASADatanaut | musician | physician | adventurer | friend | human being","",FALSE,605,940,53,21683,7886,"2009-05-01 17:11:18",FALSE,"","","en","https://pbs.twimg.com/profile_banners/36989830/1501260689","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/761287704067895297/5unK-JnD_normal.jpg"
"xxx3808635677","xxx1016377006001442817","2018-07-09 17:42:16","Janinekhuc","Only a few spots left! RSVP for our next #rladies event in Amsterdam on 17th July. Using #tidyverse magic to 
analyse and gain insights from text. 

#textmining #rstats @RLadiesAMS @Accenture https://t.co/twBNMsM62o","Twitter for iPhone",215,,,"",FALSE,FALSE,1,3,"rladies tidyverse textmining rstats",,"goo.gl/fbpXHj","https://t.co/twBNMsM62o","https://goo.gl/fbpXHj","","","","","","","",,"xxx964839447798910976 xxx10194682","RLadiesAMS Accenture","en",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Janinekhuc/status/1016377006001442817","Janine Khuc","","Aspiring behavioural Data Scientist, R- enthusiast and Co-Founder of @RladiesAMS","",FALSE,83,194,1,140,208,"2015-09-28 23:28:12",FALSE,"","","en-gb","https://pbs.twimg.com/profile_banners/3808635677/1499856671","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/962820093917974528/pqBm3uIx_normal.jpg"
"xxx885519461301850113","xxx1016355600928735232","2018-07-09 16:17:12","RLadiesChicago","Happy Monday! Just a note that our #NLP study group will be meeting tomorrow, 7/10! #RLadies #Chicago #SoDS18 https://t.co/cv0kEwO1Ip","TweetDeck",133,,,"",FALSE,FALSE,6,0,"NLP RLadies Chicago SoDS18",,"rladieschicago.org/talk/2018-07-0…","https://t.co/cv0kEwO1Ip","https://rladieschicago.org/talk/2018-07-09_nlp/","","","","","","","",,,"","en",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RLadiesChicago/status/1016355600928735232","R-Ladies Chicago","Chicago, IL","Promoting gender diversity and inclusivity in the #rstats community. #RLadies Join our Meetup! https://t.co/e0kDeR709z","https://t.co/Eb2u0NiOmY",FALSE,400,141,5,219,237,"2017-07-13 15:21:06",FALSE,"https://t.co/Eb2u0NiOmY","http://rladieschicago.org","en","https://pbs.twimg.com/profile_banners/885519461301850113/1499960590","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/885521058178244608/BzYiyrqm_normal.jpg"
"xxx885519461301850113","xxx1015558554487533568","2018-07-07 11:30:02","RLadiesChicago","R-Ladies #Chicago meets @RLadiesELansing! Thanks for visiting &amp; good luck with your first #Meetup. #Midwest represent! 🙌🏼 #RLadies #community https://t.co/30wIjNAIiw","Twitter for iPhone",145,,,"",FALSE,FALSE,27,5,"Chicago Meetup Midwest RLadies community",,"","","","http://pbs.twimg.com/media/Dhf9HlhX0AAkXNN.jpg","https://t.co/30wIjNAIiw","https://twitter.com/RLadiesChicago/status/1015558554487533568/photo/1","photo","http://pbs.twimg.com/media/Dhf9HlhX0AAkXNN.jpg","https://t.co/30wIjNAIiw","https://twitter.com/RLadiesChicago/status/1015558554487533568/photo/1",,"xxx938806454257111042","RLadiesELansing","en",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RLadiesChicago/status/1015558554487533568","R-Ladies Chicago","Chicago, IL","Promoting gender diversity and inclusivity in the #rstats community. #RLadies Join our Meetup! https://t.co/e0kDeR709z","https://t.co/Eb2u0NiOmY",FALSE,400,141,5,219,237,"2017-07-13 15:21:06",FALSE,"https://t.co/Eb2u0NiOmY","http://rladieschicago.org","en","https://pbs.twimg.com/profile_banners/885519461301850113/1499960590","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/885521058178244608/BzYiyrqm_normal.jpg"
"xxx885519461301850113","xxx1013454609736785920","2018-07-01 16:09:42","RLadiesChicago","Happy 1st day of July! Be sure to join us tomorrow for our social #meetup tomorrow 😎 #RLadies #Chicago https://t.co/UkRaGP0jUy","Twitter Web Client",126,,,"",FALSE,FALSE,13,1,"meetup RLadies Chicago",,"meetup.com/rladies-chicag…","https://t.co/UkRaGP0jUy","https://www.meetup.com/rladies-chicago/events/251993949/","","","","","","","",,,"","en",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RLadiesChicago/status/1013454609736785920","R-Ladies Chicago","Chicago, IL","Promoting gender diversity and inclusivity in the #rstats community. #RLadies Join our Meetup! https://t.co/e0kDeR709z","https://t.co/Eb2u0NiOmY",FALSE,400,141,5,219,237,"2017-07-13 15:21:06",FALSE,"https://t.co/Eb2u0NiOmY","http://rladieschicago.org","en","https://pbs.twimg.com/profile_banners/885519461301850113/1499960590","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/885521058178244608/BzYiyrqm_normal.jpg"
"xxx885519461301850113","xxx1013919738433548289","2018-07-02 22:57:58","RLadiesChicago","We're ready! #Chicago #RLadies is tasting some wine tonight 😋🍷 https://t.co/ptFygeAnkV","Twitter for iPhone",62,,,"",FALSE,FALSE,8,0,"Chicago RLadies",,"","","","http://pbs.twimg.com/media/DhIqnWXX4AEJ0sX.jpg","https://t.co/ptFygeAnkV","https://twitter.com/RLadiesChicago/status/1013919738433548289/photo/1","photo","http://pbs.twimg.com/media/DhIqnWXX4AEJ0sX.jpg","https://t.co/ptFygeAnkV","https://twitter.com/RLadiesChicago/status/1013919738433548289/photo/1",,,"","en",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RLadiesChicago/status/1013919738433548289","R-Ladies Chicago","Chicago, IL","Promoting gender diversity and inclusivity in the #rstats community. #RLadies Join our Meetup! https://t.co/e0kDeR709z","https://t.co/Eb2u0NiOmY",FALSE,400,141,5,219,237,"2017-07-13 15:21:06",FALSE,"https://t.co/Eb2u0NiOmY","http://rladieschicago.org","en","https://pbs.twimg.com/profile_banners/885519461301850113/1499960590","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/885521058178244608/BzYiyrqm_normal.jpg"
"xxx885519461301850113","xxx1015376793233231872","2018-07-06 23:27:46","RLadiesChicago","Upcoming #Meetup Alert‼️ Join #RLadies #Chicago on Thurs, July 19th for a talk on #Minecraft in R with @revodavid, an awesome R-Ladies ally 👊 
https://t.co/v4ErhACG2L","Twitter Web Client",166,,,"",FALSE,FALSE,7,2,"Meetup RLadies Chicago Minecraft",,"meetup.com/rladies-chicag…","https://t.co/v4ErhACG2L","https://www.meetup.com/rladies-chicago/events/252249636/","","","","","","","",,"xxx34677653","revodavid","en",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RLadiesChicago/status/1015376793233231872","R-Ladies Chicago","Chicago, IL","Promoting gender diversity and inclusivity in the #rstats community. #RLadies Join our Meetup! https://t.co/e0kDeR709z","https://t.co/Eb2u0NiOmY",FALSE,400,141,5,219,237,"2017-07-13 15:21:06",FALSE,"https://t.co/Eb2u0NiOmY","http://rladieschicago.org","en","https://pbs.twimg.com/profile_banners/885519461301850113/1499960590","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/885521058178244608/BzYiyrqm_normal.jpg"
"xxx885519461301850113","xxx1013947876945195008","2018-07-03 00:49:46","RLadiesChicago","Presenting our conclusions from our wine tasting data #RLadies #Chicago https://t.co/nhuiDJQNND","Twitter for iPhone",71,,,"",FALSE,FALSE,15,1,"RLadies Chicago",,"","","","http://pbs.twimg.com/media/DhJEN3OWsAEkuxk.jpg","https://t.co/nhuiDJQNND","https://twitter.com/RLadiesChicago/status/1013947876945195008/photo/1","photo","http://pbs.twimg.com/media/DhJEN3OWsAEkuxk.jpg","https://t.co/nhuiDJQNND","https://twitter.com/RLadiesChicago/status/1013947876945195008/photo/1",,,"","en",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RLadiesChicago/status/1013947876945195008","R-Ladies Chicago","Chicago, IL","Promoting gender diversity and inclusivity in the #rstats community. #RLadies Join our Meetup! https://t.co/e0kDeR709z","https://t.co/Eb2u0NiOmY",FALSE,400,141,5,219,237,"2017-07-13 15:21:06",FALSE,"https://t.co/Eb2u0NiOmY","http://rladieschicago.org","en","https://pbs.twimg.com/profile_banners/885519461301850113/1499960590","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/885521058178244608/BzYiyrqm_normal.jpg"
"xxx885519461301850113","xxx1013978508928876546","2018-07-03 02:51:29","RLadiesChicago","The results are in!! #RLadies #Chicago's wine of choice is... the French Berry Sparkling Lemonade (the non-alcoholic option) but 19 Crimes Red Blend was a close second!! 😋 https://t.co/V8y8lzgjmN","Twitter for iPhone",171,,,"",FALSE,FALSE,19,2,"RLadies Chicago",,"","","","http://pbs.twimg.com/media/DhJgEEHXcAE4sd7.jpg","https://t.co/V8y8lzgjmN","https://twitter.com/RLadiesChicago/status/1013978508928876546/photo/1","photo","http://pbs.twimg.com/media/DhJgEEHXcAE4sd7.jpg","https://t.co/V8y8lzgjmN","https://twitter.com/RLadiesChicago/status/1013978508928876546/photo/1",,,"","en",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RLadiesChicago/status/1013978508928876546","R-Ladies Chicago","Chicago, IL","Promoting gender diversity and inclusivity in the #rstats community. #RLadies Join our Meetup! https://t.co/e0kDeR709z","https://t.co/Eb2u0NiOmY",FALSE,400,141,5,219,237,"2017-07-13 15:21:06",FALSE,"https://t.co/Eb2u0NiOmY","http://rladieschicago.org","en","https://pbs.twimg.com/profile_banners/885519461301850113/1499960590","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/885521058178244608/BzYiyrqm_normal.jpg"
"xxx173630299","xxx1016350156675899393","2018-07-09 15:55:34","theaknowles","This was one of the maaaajor motivating factors for getting #RLadies #LdnOnt up and running. Nothing better than having a community to both flail and triumph with... At any learning stage but especially during a PhD 🤗.

#phdlife https://t.co/1yXf29ILum","Twitter for Android",228,,,"",TRUE,FALSE,3,0,"RLadies LdnOnt phdlife",,"twitter.com/BodoWinter/sta…","https://t.co/1yXf29ILum","https://twitter.com/BodoWinter/status/1016297554944946177","","","","","","","",,,"","en","xxx1016297554944946177","Many linguists &amp; psychologists feel isolated in doing #rstats. Forming local R groups at one's institution is a great way to combat the loneliness + discussing analyses with peers is invaluable in the face of the many hard decisions data analysts have to make. https://t.co/4OyBWiIj8H","2018-07-09 12:26:33","Twitter Web Client",34,11,"xxx3239583325","BodoWinter","Bodo Winter",1466,466,1301,"Birmingham, England","Cognitive linguist @Eng_Lang_UoB. I like counting words. Data science fanboy.",FALSE,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/theaknowles/status/1016350156675899393","Thea Knowles","London, Ontario","MClSc/PhD Candidate in speech science and speech-language pathology at Western University in London, Ontario, Canada.

Main tweeter @rladiesldnont","https://t.co/CiUhysgnLG",FALSE,307,625,5,872,885,"2010-08-01 23:50:55",FALSE,"https://t.co/CiUhysgnLG","http://theaknowles.com","en","","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1597286503/metree_normal.jpg"
